model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,algo,horizon_min
DeepLearning_grid_3_AutoML_3_20260923_181403_model_2,0.705238172190145,0.521215513451107,0.526888315558222,0.498817966903073,0.505180653899741,0.25520749307457,DeepLearning,3
DRF_1_AutoML_3_20260923_181403,0.705800423442732,0.522604682048519,0.520436243013062,0.499605988967691,0.505693493089136,0.255725908952692,DRF,3
DeepLearning_grid_2_AutoML_3_20260923_181403_model_1,0.708424822146427,0.525687221160842,0.528834207366079,0.5,0.506247324137734,0.256286353196616,DeepLearning,3
GBM_grid_1_AutoML_3_20260923_181403_model_2,0.710611257932517,0.505423321461597,0.51226000358703,0.498403393514512,0.508051014526103,0.258115833361003,GBM,3
GBM_grid_1_AutoML_3_20260923_181403_model_4,0.711271764868631,0.50640154532155,0.514860251920671,0.5,0.508310511011446,0.258379575604718,GBM,3
GBM_grid_1_AutoML_3_20260923_181403_model_6,0.713930862014658,0.520687242327973,0.525080213653807,0.499211977935382,0.509250501509967,0.259336073288153,GBM,3
DeepLearning_1_AutoML_3_20260923_181403,0.716795417542025,0.510669141406719,0.513635723968303,0.498423955870764,0.510740863784093,0.260856229938922,DeepLearning,3
GBM_grid_1_AutoML_3_20260923_181403_model_1,0.722811462372625,0.504371919804392,0.512182851973455,0.499595707789565,0.513260606191203,0.263436449867761,GBM,3
DeepLearning_grid_1_AutoML_3_20260923_181403_model_2,0.727476174104059,0.501773200839186,0.503560024572566,0.5,0.514778662514466,0.264997071380183,DeepLearning,3
DeepLearning_grid_1_AutoML_3_20260923_181403_model_3,0.733320791600795,0.509759257142546,0.514286381980628,0.5,0.515530907269665,0.265772116350284,DeepLearning,3
DeepLearning_grid_1_AutoML_3_20260923_181403_model_1,0.751442723630072,0.53075705152745,0.536314792631405,0.499605988967691,0.520643885703574,0.271070055720516,DeepLearning,3
GBM_grid_1_AutoML_3_20260923_181403_model_5,0.757785598135796,0.51564160296872,0.522999654486123,0.498019663660329,0.525885582965054,0.276555646370494,GBM,3
DeepLearning_grid_2_AutoML_4_20260923_182429_model_2,0.691230012503535,0.515167483660131,0.533496265784692,0.493417366946779,0.499046529611507,0.249047438717289,DeepLearning,5
GLM_1_AutoML_4_20260923_182429,0.692286295111027,0.503871090102708,0.521798844865541,0.496002567693744,0.499569430085409,0.24956961547586,GLM,5
DeepLearning_grid_3_AutoML_4_20260923_182429_model_3,0.692316589551439,0.50859914799253,0.524403032598599,0.497560690943044,0.49958463466673,0.24958480719509,DeepLearning,5
DeepLearning_grid_3_AutoML_4_20260923_182429_model_1,0.693010775235998,0.509909547152194,0.530838810425948,0.496708683473389,0.49993392761189,0.24993393197745,DeepLearning,5
GBM_grid_1_AutoML_4_20260923_182429_model_3,0.693369006742571,0.511152544351074,0.523504260019656,0.498295985060691,0.500080681551963,0.250080688061476,GBM,5
DeepLearning_grid_2_AutoML_4_20260923_182429_model_3,0.69407735210147,0.485810574229692,0.511090802227685,0.499603174603175,0.50045593249278,0.250456140367218,DeepLearning,5
GBM_2_AutoML_4_20260923_182429,0.695168134100171,0.522767857142857,0.541841268586416,0.495489028944911,0.500961594122208,0.250962518785464,GBM,5
GBM_grid_1_AutoML_4_20260923_182429_model_7,0.69840154611035,0.502283204948646,0.522516345103225,0.497619047619048,0.502554511358283,0.252561036886562,GBM,5
XRT_1_AutoML_4_20260923_182429,0.699853344826049,0.52609506302521,0.547201775258993,0.498721988795518,0.503088112450339,0.253097648888845,DRF,5
GBM_5_AutoML_4_20260923_182429,0.700333999239934,0.502510795985061,0.516441993662707,0.499603174603175,0.503416715524142,0.253428389469115,GBM,5
GBM_1_AutoML_4_20260923_182429,0.701553850796856,0.504541900093371,0.526407941735508,0.5,0.50404276453421,0.254059108479289,GBM,5
DRF_1_AutoML_4_20260923_182429,0.703136883203147,0.516919351073763,0.528830543177537,0.499603174603175,0.504605024909652,0.254626231164071,DRF,5
GBM_3_AutoML_4_20260923_182429,0.703296963745156,0.505079948646125,0.520564854302264,0.498721988795518,0.504822578665452,0.254845835930436,GBM,5
GBM_grid_1_AutoML_4_20260923_182429_model_2,0.703787050497358,0.509020191409897,0.524375180796582,0.499206349206349,0.504991536151683,0.255016451584836,GBM,5
GBM_grid_1_AutoML_4_20260923_182429_model_4,0.704473930371386,0.50890347805789,0.520819924411635,0.497869981325864,0.50527966302618,0.25530753786785,GBM,5
