horizon_min,model_id,algo,automl_rank,tau,base_side,n,coverage,wins,win_rate,base_wins,selected_baseline_win_rate,directional_edge,n_long,long_win_rate,n_short,short_win_rate,tie_rate,mean_confidence
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_1,DeepLearning,21,0.075,1,1078,0.267959234402187,497,0.461038961038961,500,0.463821892393321,-0.00278293135435992,843,0.466192170818505,235,0.442553191489362,0.101113172541744,0.151053192779825
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_2,DeepLearning,22,0,1,4023,1,1695,0.421327367636092,1713,0.425801640566741,-0.00447427293064878,2055,0.423357664233577,1968,0.419207317073171,0.150882426050211,0.0923813622027396
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_2,DeepLearning,22,0.025,1,3187,0.792194879443202,1346,0.422340759334798,1371,0.430185127078757,-0.00784436774395986,1618,0.426452410383189,1569,0.418100701083493,0.147160338876687,0.113519802497027
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_2,DeepLearning,22,0.05,1,2485,0.6176982351479,1064,0.428169014084507,1077,0.433400402414487,-0.00523138832997988,1301,0.431206764027671,1184,0.424831081081081,0.140040241448692,0.135056680731204
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_2,DeepLearning,22,0.075,1,1958,0.486701466567238,841,0.429519918283963,867,0.442798774259448,-0.0132788559754852,1019,0.443572129538764,939,0.414270500532481,0.1414708886619,0.154814789976145
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_3,DeepLearning,23,0,1,4023,1,1694,0.421078796917723,1713,0.425801640566741,-0.00472284364901815,1501,0.423717521652232,2522,0.419508326724822,0.150882426050211,0.0989404762251572
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_3,DeepLearning,23,0.025,1,3212,0.798409147402436,1346,0.419053549190536,1346,0.419053549190536,0,1183,0.420118343195266,2029,0.418432725480532,0.158779576587796,0.120695954410272
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_3,DeepLearning,23,0.05,1,2593,0.644543872731792,1117,0.430775163902815,1103,0.425376012340918,0.00539915156189741,932,0.440987124463519,1661,0.425045153521975,0.15001928268415,0.14055588787963
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_3,DeepLearning,23,0.075,1,2022,0.502609992542879,885,0.437685459940653,853,0.421859545004946,0.0158259149357072,739,0.445196211096076,1283,0.43335931410756,0.151829871414441,0.16270397922929
1,GBM_grid_1_AutoML_1_20260923_175254_model_5,GBM,24,0,1,4023,1,1773,0.440715883668904,1713,0.425801640566741,0.0149142431021626,2131,0.441576724542468,1892,0.439746300211417,0.150882426050211,0.145556234198451
1,GBM_grid_1_AutoML_1_20260923_175254_model_5,GBM,24,0.025,1,3627,0.901565995525727,1597,0.440308795147505,1552,0.427901847256686,0.0124069478908189,1924,0.443347193347193,1703,0.436876100998238,0.153294733939895,0.160085839386563
1,GBM_grid_1_AutoML_1_20260923_175254_model_5,GBM,24,0.05,1,3246,0.806860551826995,1419,0.437153419593346,1391,0.42852741836106,0.00862600123228585,1723,0.438769587928033,1523,0.43532501641497,0.150955021565003,0.174453581603998
1,GBM_grid_1_AutoML_1_20260923_175254_model_5,GBM,24,0.075,1,2840,0.705940840169028,1234,0.434507042253521,1222,0.430281690140845,0.00422535211267605,1521,0.437869822485207,1319,0.43062926459439,0.15,0.190466940916264
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_1,DeepLearning,25,0,1,4023,1,1702,0.423067362664678,1713,0.425801640566741,-0.00273427790206315,2200,0.425,1823,0.420735052111903,0.150882426050211,0.140653685090901
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_1,DeepLearning,25,0.025,1,3553,0.883171762366393,1518,0.427244582043344,1533,0.431466366450887,-0.00422178440754295,1959,0.431852986217458,1594,0.421580928481807,0.14719954967633,0.157544570925784
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_1,DeepLearning,25,0.05,1,3083,0.766343524732787,1321,0.428478754459942,1339,0.43431722348362,-0.00583846902367824,1715,0.434402332361516,1368,0.421052631578947,0.145637366201752,0.17588482083645
1,DeepLearning_grid_1_AutoML_1_20260923_175254_model_1,DeepLearning,25,0.075,1,2646,0.657718120805369,1157,0.437263794406652,1158,0.437641723356009,-0.000377928949357564,1497,0.440881763527054,1149,0.432550043516101,0.140967498110355,0.194617626871561
2,GLM_1_AutoML_2_20260923_180332,GLM,1,0,1,4026,1,1840,0.457029309488326,1822,0.452558370591158,0.00447093889716838,3894,0.454288649203904,132,0.537878787878788,0.10655737704918,0.0157851159972589
2,GLM_1_AutoML_2_20260923_180332,GLM,1,0.025,1,428,0.106308991554893,220,0.514018691588785,219,0.511682242990654,0.00233644859813076,421,0.513064133016627,7,0.571428571428571,0.0514018691588785,0.034885887579546
2,GLM_1_AutoML_2_20260923_180332,GLM,1,0.05,1,42,0.0104321907600596,16,0.380952380952381,14,0.333333333333333,0.0476190476190476,40,0.35,2,1,0.0238095238095238,0.0649920858492054
2,GLM_1_AutoML_2_20260923_180332,GLM,1,0.075,1,7,0.00173869846000994,4,0.571428571428571,4,0.571428571428571,0,7,0.571428571428571,0,,0,0.100487395828751
