date,event,sourceA,timeA,sourceB,timeB,diff_min
2018-08-01,FOMC Statement,InvestingA(2011-18),2018-08-01 15:00:00-04:00,InvestingB(scraper),2018-08-01 14:00:00-04:00,60.0
2018-08-01,Fed Interest Rate Decision,InvestingA(2011-18),2018-08-01 15:00:00-04:00,InvestingB(scraper),2018-08-01 14:00:00-04:00,60.0
2018-08-02,Initial Jobless Claims,InvestingA(2011-18),2018-08-02 09:30:00-04:00,InvestingB(scraper),2018-08-02 08:30:00-04:00,60.0
2018-08-03,Nonfarm Payrolls,InvestingA(2011-18),2018-08-03 09:30:00-04:00,InvestingB(scraper),2018-08-03 08:30:00-04:00,60.0
2018-08-03,Unemployment Rate,InvestingA(2011-18),2018-08-03 09:30:00-04:00,InvestingB(scraper),2018-08-03 08:30:00-04:00,60.0
2018-08-03,ISM Non-Manufacturing PMI,InvestingA(2011-18),2018-08-03 11:00:00-04:00,InvestingB(scraper),2018-08-03 10:00:00-04:00,60.0
2018-08-08,10-Year Note Auction,InvestingA(2011-18),2018-08-08 14:00:00-04:00,InvestingB(scraper),2018-08-08 13:00:00-04:00,60.0
2018-08-09,Initial Jobless Claims,InvestingA(2011-18),2018-08-09 09:30:00-04:00,InvestingB(scraper),2018-08-09 08:30:00-04:00,60.0
2018-08-09,30-Year Bond Auction,InvestingA(2011-18),2018-08-09 14:00:00-04:00,InvestingB(scraper),2018-08-09 13:00:00-04:00,60.0
2018-08-15,NY Empire State Manufacturing Index,InvestingA(2011-18),2018-08-15 09:30:00-04:00,InvestingB(scraper),2018-08-15 08:30:00-04:00,60.0
2018-08-16,Housing Starts,InvestingA(2011-18),2018-08-16 09:30:00-04:00,InvestingB(scraper),2018-08-16 08:30:00-04:00,60.0
2018-08-16,Initial Jobless Claims,InvestingA(2011-18),2018-08-16 09:30:00-04:00,InvestingB(scraper),2018-08-16 08:30:00-04:00,60.0
2018-08-16,Philadelphia Fed Manufacturing Index,InvestingA(2011-18),2018-08-16 09:30:00-04:00,InvestingB(scraper),2018-08-16 08:30:00-04:00,60.0
2018-08-17,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-08-17 11:00:00-04:00,InvestingB(scraper),2018-08-17 10:00:00-04:00,60.0
2018-08-17,Michigan Consumer Sentiment,InvestingA(2011-18),2018-08-17 11:00:00-04:00,InvestingB(scraper),2018-08-17 10:00:00-04:00,60.0
2018-08-22,FOMC Meeting Minutes,InvestingA(2011-18),2018-08-22 15:00:00-04:00,InvestingB(scraper),2018-08-22 14:00:00-04:00,60.0
2018-08-23,Initial Jobless Claims,InvestingA(2011-18),2018-08-23 09:30:00-04:00,InvestingB(scraper),2018-08-23 08:30:00-04:00,60.0
2018-08-23,New Home Sales,InvestingA(2011-18),2018-08-23 11:00:00-04:00,InvestingB(scraper),2018-08-23 10:00:00-04:00,60.0
2018-08-24,Fed Chair Powell Speaks,InvestingA(2011-18),2018-08-24 11:00:00-04:00,InvestingB(scraper),2018-08-24 10:00:00-04:00,60.0
2018-08-28,CB Consumer Confidence,InvestingA(2011-18),2018-08-28 11:00:00-04:00,InvestingB(scraper),2018-08-28 10:00:00-04:00,60.0
2018-08-30,Initial Jobless Claims,InvestingA(2011-18),2018-08-30 09:30:00-04:00,InvestingB(scraper),2018-08-30 08:30:00-04:00,60.0
