signal_et,signal_date,source_period,p_up,confidence,signal,outcome,correct_direction
2025-02-14T17:30:00Z,2025-02-14,2025 calibration,0.561882495880127,0.061882495880127,BUY,1,1
2025-02-17T05:15:00Z,2025-02-17,2025 calibration,0.431420981884003,0.0685790181159973,SELL,1,0
2025-02-17T07:15:00Z,2025-02-17,2025 calibration,0.561354100704193,0.0613541007041931,BUY,1,1
2025-02-17T07:45:00Z,2025-02-17,2025 calibration,0.574327528476715,0.0743275284767151,BUY,-1,0
2025-02-17T08:30:00Z,2025-02-17,2025 calibration,0.575075089931488,0.075075089931488,BUY,1,1
2025-02-17T11:15:00Z,2025-02-17,2025 calibration,0.438102424144745,0.0618975758552551,SELL,1,0
2025-02-18T05:15:00Z,2025-02-18,2025 calibration,0.569075405597687,0.0690754055976868,BUY,1,1
2025-02-18T05:45:00Z,2025-02-18,2025 calibration,0.569703221321106,0.069703221321106,BUY,-1,0
2025-02-18T06:30:00Z,2025-02-18,2025 calibration,0.435810506343842,0.0641894936561585,SELL,-1,1
2025-02-18T09:45:00Z,2025-02-18,2025 calibration,0.58952409029007,0.0895240902900696,BUY,1,1
2025-02-18T11:45:00Z,2025-02-18,2025 calibration,0.570541739463806,0.0705417394638062,BUY,1,1
2025-02-19T06:30:00Z,2025-02-19,2025 calibration,0.432084858417511,0.067915141582489,SELL,1,0
2025-02-19T07:00:00Z,2025-02-19,2025 calibration,0.579732000827789,0.0797320008277893,BUY,-1,0
2025-02-19T10:30:00Z,2025-02-19,2025 calibration,0.573547065258026,0.0735470652580261,BUY,-1,0
2025-02-19T10:45:00Z,2025-02-19,2025 calibration,0.572434663772583,0.072434663772583,BUY,1,1
2025-02-19T11:45:00Z,2025-02-19,2025 calibration,0.568594098091126,0.0685940980911255,BUY,1,1
2025-02-19T19:00:00Z,2025-02-19,2025 calibration,0.565301835536957,0.0653018355369568,BUY,1,1
2025-02-20T01:15:00Z,2025-02-19,2025 calibration,0.56846958398819,0.0684695839881897,BUY,-1,0
2025-02-21T08:00:00Z,2025-02-21,2025 calibration,0.583930015563965,0.0839300155639648,BUY,1,1
2025-02-21T14:30:00Z,2025-02-21,2025 calibration,0.566790640354157,0.0667906403541565,BUY,-1,0
2025-02-21T21:30:00Z,2025-02-21,2025 calibration,0.577570855617523,0.0775708556175232,BUY,-1,0
2025-02-21T21:45:00Z,2025-02-21,2025 calibration,0.566318929195404,0.0663189291954041,BUY,1,1
2025-02-24T07:45:00Z,2025-02-24,2025 calibration,0.584405481815338,0.0844054818153381,BUY,1,1
2025-02-24T12:15:00Z,2025-02-24,2025 calibration,0.569544851779938,0.0695448517799377,BUY,1,1
