candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust
1__NQ_ONLY__ranger__0.0050,1,NQ_ONLY,ranger,,0.005,338,176,0.520710059171598,156,0.461538461538462,0.0591715976331361,338,1,45.3333333333333,43,3,2,0.442105263157895,0.585858585858586,0.117647058823529,0.411764705882353,0.157894736842105,100,51,0.51,238,125,0.525210084033613,0.00468790926031707,TRUE,TRUE,0.471425334484247,0.572581771490359,-0.0224301348446355,0.139959968259912,FALSE
1__NQ_ONLY__xgb_d2__0.0050,1,NQ_ONLY,xgb_d2,2,0.005,359,189,0.526462395543176,165,0.459610027855153,0.0668523676880223,359,1,46,43,2,2,0.467391304347826,0.566371681415929,0.12,0.4,0.115044247787611,137,70,0.510948905109489,222,119,0.536036036036036,0.00529529447454942,TRUE,TRUE,0.470690723515651,0.581016305087732,-0.0086969197616935,0.145082062118274,FALSE
3__NQ_ONLY__logit__0.0050,3,NQ_ONLY,logit,,0.005,311,160,0.514469453376206,145,0.466237942122187,0.0482315112540193,311,1,40.3333333333333,34,2,2,0.462962962962963,0.546218487394958,0.1,0.4,0.218487394957983,187,91,0.486631016042781,124,69,0.556451612903226,0.00450456616816201,TRUE,TRUE,0.461531365313653,0.566866805837365,-0.0216764584147716,0.11003384697604,FALSE
5__NQ_ES__xgb_d4__0.0050,5,NQ_ES,xgb_d4,4,0.005,321,164,0.510903426791277,165,0.514018691588785,-0.00311526479750779,321,1,44.3333333333333,34,3,2,0.436363636363636,0.574803149606299,0.111111111111111,0.555555555555556,0.2,197,103,0.522842639593909,124,61,0.491935483870968,0.00412754950872523,TRUE,TRUE,0.459701492537313,0.56161280828262,-0.0653214252343726,0.0564904958156356,FALSE
15__NQ_ES__xgb_d2__0.0050,15,NQ_ES,xgb_d2,2,0.005,405,202,0.498765432098765,189,0.466666666666667,0.0320987654320988,405,1,45,40,2,2,0.5,0.53,0.304347826086957,0.608695652173913,0.18,354,170,0.480225988700565,51,32,0.627450980392157,0.00582492129758837,TRUE,TRUE,0.454317064606742,0.543700028555111,-0.00235421380090498,0.0666706443914081,FALSE
10__NQ_ONLY__xgb_d3__0.0050,10,NQ_ONLY,xgb_d3,3,0.005,355,182,0.512676056338028,164,0.461971830985916,0.0507042253521127,355,1,44.6666666666667,43,2,2,0.448598130841121,0.550724637681159,0.176470588235294,0.529411764705882,0.139784946236559,244,118,0.483606557377049,111,64,0.576576576576577,0.00488706335691737,TRUE,TRUE,0.453548518480806,0.56813083479908,-0.00625822368421053,0.102274964209019,FALSE
15__NQ_ONLY__ranger__0.0050,15,NQ_ONLY,ranger,,0.005,392,197,0.502551020408163,203,0.517857142857143,-0.0153061224489796,392,1,46.3333333333333,44,3,2,0.487012987012987,0.507936507936508,0.222222222222222,0.666666666666667,0.142857142857143,360,184,0.511111111111111,32,13,0.40625,0.00502718396565939,TRUE,TRUE,0.452817335869621,0.553480500847789,-0.0382834441115896,0.010443864229765,FALSE
5__NQ_ONLY__xgb_d4__0.0050,5,NQ_ONLY,xgb_d4,4,0.005,327,171,0.522935779816514,162,0.495412844036697,0.0275229357798165,327,1,43.3333333333333,42,2,1,0.438095238095238,0.62280701754386,0.1,0.4,0.140350877192982,175,91,0.52,152,80,0.526315789473684,0.00469748503142734,TRUE,FALSE,,,,,FALSE
1__NQ_ES__xgb_d2__0.0050,1,NQ_ES,xgb_d2,2,0.005,355,184,0.51830985915493,173,0.487323943661972,0.0309859154929577,355,1,46,42,1,1,0.466019417475728,0.617021276595745,0.115384615384615,0.423076923076923,0.138297872340426,114,62,0.543859649122807,241,122,0.506224066390042,0.0052905709066019,TRUE,FALSE,,,,,FALSE
3__NQ_ES__logit__0.0050,3,NQ_ES,logit,,0.005,317,164,0.517350157728707,150,0.473186119873817,0.0441640378548896,317,1,41.3333333333333,30,2,1,0.483333333333333,0.556390977443609,0.157894736842105,0.526315789473684,0.210526315789474,212,105,0.495283018867925,105,59,0.561904761904762,0.00452598846212828,TRUE,FALSE,,,,,FALSE
1__NQ_ES__xgb_d5__0.0100,1,NQ_ES,xgb_d5,5,0.01,605,307,0.507438016528926,287,0.474380165289256,0.0330578512396694,605,1,50.6666666666667,48,2,1,0.472361809045226,0.552631578947369,0.0666666666666667,0.311111111111111,0.105527638190955,243,124,0.510288065843621,362,183,0.505524861878453,0.0090428405875942,TRUE,FALSE,,,,,FALSE
15__NQ_ONLY__logit__0.0100,15,NQ_ONLY,logit,,0.01,587,295,0.502555366269165,292,0.497444633730835,0.00511073253833049,587,1,47.3333333333333,40,1,1,0.495726495726496,0.518828451882845,0.115384615384615,0.423076923076923,0.167364016736402,532,266,0.5,55,29,0.527272727272727,0.00808472210725352,TRUE,FALSE,,,,,FALSE
10__NQ_ONLY__xgb_d5__0.0200,10,NQ_ONLY,xgb_d5,5,0.02,1236,621,0.502427184466019,595,0.481391585760518,0.0210355987055016,1236,1,52.6666666666667,52,1,1,0.483673469387755,0.533333333333333,0.0657894736842105,0.276315789473684,0.128571428571429,863,423,0.490150637311703,373,198,0.530831099195711,0.0177731779302417,TRUE,FALSE,,,,,FALSE
10__NQ_ONLY__logit__0.0100,10,NQ_ONLY,logit,,0.01,632,317,0.501582278481013,329,0.520569620253165,-0.0189873417721519,632,1,47.6666666666667,39,2,1,0.448717948717949,0.543165467625899,0.0967741935483871,0.387096774193548,0.237410071942446,477,246,0.515723270440252,155,71,0.458064516129032,0.00872389909397158,TRUE,FALSE,,,,,FALSE
15__NQ_ONLY__xgb_d4__0.0050,15,NQ_ONLY,xgb_d4,4,0.005,390,195,0.5,184,0.471794871794872,0.0282051282051282,390,1,43.6666666666667,39,1,1,0.457831325301205,0.538922155688623,0.272727272727273,0.636363636363636,0.228915662650602,321,155,0.482866043613707,69,40,0.579710144927536,0.00508307235552681,TRUE,FALSE,,,,,FALSE
5__NQ_ONLY__ranger__0.0050,5,NQ_ONLY,ranger,,0.005,373,186,0.498659517426273,192,0.514745308310992,-0.0160857908847185,373,1,45.3333333333333,42,2,1,0.475409836065574,0.512820512820513,0.105263157894737,0.473684210526316,0.11304347826087,260,133,0.511538461538462,113,53,0.469026548672566,0.00518572836918423,TRUE,FALSE,,,,,FALSE
10__NQ_ES__xgb_d2__0.0050,10,NQ_ES,xgb_d2,2,0.005,350,173,0.494285714285714,167,0.477142857142857,0.0171428571428571,350,1,45.6666666666667,43,1,1,0.47787610619469,0.527472527472528,0.0526315789473684,0.263157894736842,0.120879120879121,277,134,0.483754512635379,73,39,0.534246575342466,0.00492154435963213,TRUE,FALSE,,,,,FALSE
15__NQ_ONLY__logit__0.0200,15,NQ_ONLY,logit,,0.02,1241,610,0.491539081385979,610,0.491539081385979,0,1241,1,51.3333333333333,49,1,1,0.465116279069768,0.515030060120241,0.109375,0.3125,0.11623246492986,1138,559,0.491212653778559,103,51,0.495145631067961,0.0175083661681391,TRUE,FALSE,,,,,FALSE
10__NQ_ONLY__xgb_d2__0.0050,10,NQ_ONLY,xgb_d2,2,0.005,307,149,0.485342019543974,147,0.478827361563518,0.00651465798045603,307,1,40.3333333333333,35,1,1,0.4375,0.543859649122807,0.176470588235294,0.470588235294118,0.21875,228,109,0.478070175438597,79,40,0.506329113924051,0.00433087179671489,TRUE,FALSE,,,,,FALSE
60__NQ_ES__logit__0.0100,60,NQ_ES,logit,,0.01,633,388,0.612954186413902,365,0.576619273301738,0.0363349131121643,347,0.548183254344392,34.3333333333333,28,3,3,0.592375366568915,0.670103092783505,0.178571428571429,0.642857142857143,0.391752577319588,534,327,0.612359550561798,99,61,0.616161616161616,0.00910453616783242,FALSE,TRUE,,,,,FALSE
60__NQ_ES__logit__0.0050,60,NQ_ES,logit,,0.005,299,183,0.612040133779264,158,0.528428093645485,0.0836120401337793,171,0.57190635451505,23.3333333333333,13,4,3,0.595959595959596,0.666666666666667,0.428571428571429,1,0.6,218,130,0.596330275229358,81,53,0.654320987654321,0.00399162886967799,FALSE,TRUE,,,,,FALSE
30__NQ_ES__xgb_d3__0.0050,30,NQ_ES,xgb_d3,3,0.005,283,164,0.579505300353357,164,0.579505300353357,0,265,0.936395759717314,38,23,3,3,0.526315789473684,0.593406593406593,0.285714285714286,1,0.315789473684211,259,152,0.586872586872587,24,12,0.5,0.00370956012046328,FALSE,TRUE,,,,,FALSE
3__NQ_ES__xgb_d5__0.0050,3,NQ_ES,xgb_d5,5,0.005,261,151,0.578544061302682,111,0.425287356321839,0.153256704980843,261,1,38,29,4,3,0.559139784946237,0.602040816326531,0.142857142857143,0.571428571428571,0.204081632653061,87,46,0.528735632183908,174,105,0.603448275862069,0.00397284756415372,FALSE,TRUE,,,,,FALSE
3__NQ_ONLY__xgb_d4__0.0050,3,NQ_ONLY,xgb_d4,4,0.005,293,169,0.57679180887372,128,0.436860068259386,0.139931740614334,293,1,43.6666666666667,41,4,3,0.521739130434783,0.625,0.111111111111111,0.388888888888889,0.1375,103,55,0.533980582524272,190,114,0.6,0.00421080876882609,FALSE,TRUE,,,,,FALSE
30__NQ_ONLY__xgb_d3__0.0100,30,NQ_ONLY,xgb_d3,3,0.01,527,303,0.574952561669829,302,0.573055028462998,0.00189753320683112,459,0.870967741935484,40.3333333333333,28,4,3,0.508771929824562,0.589108910891089,0.25,0.7,0.350877192982456,468,273,0.583333333333333,59,30,0.508474576271186,0.00720815754868228,FALSE,TRUE,,,,,FALSE
60__NQ_ES__xgb_d5__0.0100,60,NQ_ES,xgb_d5,5,0.01,684,392,0.573099415204678,378,0.552631578947369,0.0204678362573099,352,0.514619883040936,33.3333333333333,21,4,3,0.545454545454545,0.616666666666667,0.333333333333333,1,0.5,614,350,0.570032573289902,70,42,0.6,0.00924187086458906,FALSE,TRUE,,,,,FALSE
60__NQ_ONLY__xgb_d4__0.0050,60,NQ_ONLY,xgb_d4,4,0.005,344,196,0.569767441860465,191,0.555232558139535,0.0145348837209302,182,0.529069767441861,21.3333333333333,8,3,3,0.502857142857143,0.657342657342657,0.423076923076923,0.846153846153846,0.846153846153846,311,177,0.569131832797428,33,19,0.575757575757576,0.00422983458253357,FALSE,TRUE,,,,,FALSE
30__NQ_ONLY__xgb_d4__0.0100,30,NQ_ONLY,xgb_d4,4,0.01,502,286,0.569721115537849,280,0.557768924302789,0.0119521912350598,443,0.882470119521912,40.6666666666667,27,4,3,0.526315789473684,0.602150537634409,0.238095238095238,0.761904761904762,0.298245614035088,442,253,0.572398190045249,60,33,0.55,0.00695604623342338,FALSE,TRUE,,,,,FALSE
30__NQ_ONLY__xgb_d2__0.0050,30,NQ_ONLY,xgb_d2,2,0.005,262,149,0.568702290076336,149,0.568702290076336,0,233,0.889312977099237,26.6666666666667,7,3,3,0.512605042016807,0.635593220338983,0.375,1,0.764705882352941,242,139,0.574380165289256,20,10,0.5,0.00349472585916913,FALSE,TRUE,,,,,FALSE
30__NQ_ES__logit__0.0050,30,NQ_ES,logit,,0.005,294,167,0.568027210884354,162,0.551020408163265,0.0170068027210884,262,0.891156462585034,32.6666666666667,17,4,3,0.54320987654321,0.789473684210526,0.285714285714286,0.642857142857143,0.368421052631579,253,144,0.569169960474308,41,23,0.560975609756098,0.00414091000219908,FALSE,TRUE,,,,,FALSE
60__NQ_ES__xgb_d4__0.0050,60,NQ_ES,xgb_d4,4,0.005,479,272,0.567849686847599,275,0.574112734864301,-0.00626304801670146,230,0.480167014613779,24,13,4,3,0.544776119402985,0.56794425087108,0.461538461538462,1,0.6875,460,264,0.573913043478261,19,8,0.421052631578947,0.00710604129187987,FALSE,TRUE,,,,,FALSE
60__NQ_ES__xgb_d5__0.0050,60,NQ_ES,xgb_d5,5,0.005,430,244,0.567441860465116,231,0.537209302325581,0.0302325581395349,219,0.509302325581395,23,11,4,3,0.551724137931035,0.568965517241379,0.5,1,0.758620689655172,385,215,0.558441558441558,45,29,0.644444444444445,0.00564516830677207,FALSE,TRUE,,,,,FALSE
10__NQ_ONLY__xgb_d4__0.0050,10,NQ_ONLY,xgb_d4,4,0.005,293,165,0.563139931740614,141,0.48122866894198,0.0819112627986348,293,1,41.6666666666667,35,4,3,0.554347826086957,0.565573770491803,0.15,0.45,0.220338983050847,164,89,0.542682926829268,129,76,0.589147286821706,0.00430159446694159,FALSE,TRUE,,,,,FALSE
