candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,coverage,win_rate,baseline_wr,edge,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,long_n,long_wr,short_n,short_wr,viewed_in_v5
1__NQ_ES__xgb_d5__0.0500,1,NQ_ES,xgb_d5,5,0.05,217,0.0494305239179955,0.534562211981567,0.488479262672811,0.0460829493087558,11,56,0.0414746543778802,0.184331797235023,217,129,0.527131782945737,88,0.545454545454545,TRUE
1__NQ_ES__xgb_d5__0.0200,1,NQ_ES,xgb_d5,5,0.02,97,0.0220956719817768,0.515463917525773,0.484536082474227,0.0309278350515464,11,44,0.0618556701030928,0.268041237113402,97,46,0.5,51,0.529411764705882,TRUE
1__NQ_ES__xgb_d5__0.0100,1,NQ_ES,xgb_d5,5,0.01,45,0.010250569476082,0.555555555555556,0.488888888888889,0.0666666666666667,11,28,0.0666666666666667,0.311111111111111,45,20,0.55,25,0.56,TRUE
1__NQ_ES__xgb_d5__0.0050,1,NQ_ES,xgb_d5,5,0.005,20,0.00455580865603645,0.5,0.5,0,7,15,0.1,0.5,20,6,0.5,14,0.5,TRUE
3__NQ_ONLY__logit__0.5000,3,NQ_ONLY,logit,,0.5,2226,0.507061503416857,0.536388140161725,0.517520215633423,0.0188679245283019,11,62,0.022911051212938,0.112309074573226,2226,1603,0.538989394884592,623,0.529695024077047,TRUE
3__NQ_ONLY__logit__0.2000,3,NQ_ONLY,logit,,0.2,908,0.206833712984055,0.523127753303965,0.507709251101322,0.0154185022026432,11,62,0.0286343612334802,0.133259911894273,908,712,0.52247191011236,196,0.525510204081633,TRUE
3__NQ_ONLY__logit__0.1000,3,NQ_ONLY,logit,,0.1,448,0.102050113895216,0.522321428571429,0.511160714285714,0.0111607142857143,11,58,0.0379464285714286,0.165178571428571,448,366,0.521857923497268,82,0.524390243902439,TRUE
3__NQ_ONLY__logit__0.0500,3,NQ_ONLY,logit,,0.05,211,0.0480637813211845,0.488151658767773,0.492890995260663,-0.004739336492891,11,52,0.04739336492891,0.208530805687204,211,179,0.491620111731844,32,0.46875,TRUE
3__NQ_ONLY__logit__0.0200,3,NQ_ONLY,logit,,0.02,81,0.0184510250569476,0.45679012345679,0.506172839506173,-0.0493827160493827,11,38,0.0740740740740741,0.296296296296296,81,69,0.478260869565217,12,0.333333333333333,TRUE
3__NQ_ONLY__logit__0.0100,3,NQ_ONLY,logit,,0.01,36,0.0082004555808656,0.5,0.5,0,9,22,0.138888888888889,0.416666666666667,36,34,0.5,2,0.5,TRUE
3__NQ_ONLY__logit__0.0050,3,NQ_ONLY,logit,,0.005,20,0.00455580865603645,0.4,0.4,0,9,17,0.1,0.4,20,18,0.388888888888889,2,0.5,TRUE
3__NQ_ONLY__ranger__0.5000,3,NQ_ONLY,ranger,,0.5,2249,0.512300683371298,0.525122276567363,0.504668741662961,0.020453534904402,11,62,0.0253445975989329,0.116496220542463,2249,1606,0.523038605230386,643,0.530326594090202,TRUE
3__NQ_ONLY__ranger__0.2000,3,NQ_ONLY,ranger,,0.2,880,0.200455580865604,0.531818181818182,0.476136363636364,0.0556818181818182,11,62,0.0306818181818182,0.139772727272727,880,635,0.508661417322835,245,0.591836734693878,TRUE
3__NQ_ONLY__ranger__0.1000,3,NQ_ONLY,ranger,,0.1,415,0.0945330296127563,0.551807228915663,0.474698795180723,0.0771084337349398,11,62,0.0433734939759036,0.175903614457831,415,287,0.526132404181185,128,0.609375,TRUE
3__NQ_ONLY__ranger__0.0500,3,NQ_ONLY,ranger,,0.05,202,0.0460136674259681,0.52970297029703,0.50990099009901,0.0198019801980198,11,58,0.0495049504950495,0.183168316831683,202,131,0.534351145038168,71,0.52112676056338,TRUE
3__NQ_ONLY__ranger__0.0200,3,NQ_ONLY,ranger,,0.02,85,0.0193621867881549,0.552941176470588,0.482352941176471,0.0705882352941176,11,42,0.0470588235294118,0.235294117647059,85,53,0.528301886792453,32,0.59375,TRUE
3__NQ_ONLY__ranger__0.0100,3,NQ_ONLY,ranger,,0.01,40,0.00911161731207289,0.6,0.4,0.2,11,30,0.05,0.25,40,20,0.5,20,0.7,TRUE
3__NQ_ONLY__ranger__0.0050,3,NQ_ONLY,ranger,,0.005,19,0.00432801822323462,0.473684210526316,0.421052631578947,0.0526315789473684,11,19,0.0526315789473684,0.263157894736842,19,10,0.4,9,0.555555555555556,TRUE
3__NQ_ONLY__xgb_d2__0.5000,3,NQ_ONLY,xgb_d2,2,0.5,2269,0.516856492027335,0.528867342441604,0.508594094314676,0.0202732481269282,11,62,0.0251211987659762,0.117672983693257,2269,1621,0.528069093152375,648,0.530864197530864,TRUE
3__NQ_ONLY__xgb_d2__0.2000,3,NQ_ONLY,xgb_d2,2,0.2,906,0.206378132118451,0.535320088300221,0.493377483443709,0.0419426048565121,11,62,0.0342163355408389,0.143487858719647,906,656,0.522865853658537,250,0.568,TRUE
3__NQ_ONLY__xgb_d2__0.1000,3,NQ_ONLY,xgb_d2,2,0.1,423,0.0963553530751708,0.534278959810875,0.472813238770686,0.0614657210401891,11,62,0.0425531914893617,0.16548463356974,423,294,0.510204081632653,129,0.589147286821706,TRUE
3__NQ_ONLY__xgb_d2__0.0500,3,NQ_ONLY,xgb_d2,2,0.05,206,0.0469248291571754,0.524271844660194,0.451456310679612,0.0728155339805825,11,56,0.0436893203883495,0.189320388349515,206,140,0.485714285714286,66,0.606060606060606,TRUE
