candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr
1__NQ_ES__xgb_d2__0.0200,2023,TRUE,1,NQ_ES,xgb_d2,2,0.02,0.0963168847560882,1,477,0.0222647498132935,282,0.591194968553459,226,0.473794549266247,0.117400419287212,0.0314465408805031,52,224,0.0167714884696017,0.0649895178197065,477,1,262,151,0.576335877862595,215,131,0.609302325581395,0.473794549266247,0.49475890985325
1__NQ_ES__xgb_d2__0.0100,2023,TRUE,1,NQ_ES,xgb_d2,2,0.01,0.103354227542877,1,245,0.0114357729648992,149,0.608163265306122,112,0.457142857142857,0.151020408163265,0.0204081632653061,50,153,0.0204081632653061,0.0938775510204082,245,1,109,64,0.587155963302752,136,85,0.625,0.457142857142857,0.522448979591837
1__NQ_ES__xgb_d2__0.0050,2023,TRUE,1,NQ_ES,xgb_d2,2,0.005,0.111997636556625,1,94,0.00438760268857356,58,0.617021276595745,46,0.48936170212766,0.127659574468085,0.0319148936170213,42,74,0.0319148936170213,0.138297872340426,94,1,36,24,0.666666666666667,58,34,0.586206896551724,0.48936170212766,0.478723404255319
1__NQ_ES__xgb_d3__0.5000,2023,TRUE,1,NQ_ES,xgb_d3,3,0.5,0.0320648550987244,1,11150,0.520444361463779,5917,0.53067264573991,5368,0.481434977578475,0.049237668161435,0.0386547085201794,52,310,0.00502242152466368,0.0242152466367713,11150,1,6412,3369,0.525421085464754,4738,2548,0.537779653862389,0.481434977578475,0.479910313901345
1__NQ_ES__xgb_d3__0.2000,2023,TRUE,1,NQ_ES,xgb_d3,3,0.2,0.0599560499191284,1,4773,0.222787528005975,2574,0.539283469516028,2241,0.469516027655563,0.0697674418604651,0.0402262727844123,52,310,0.00607584328514561,0.0291221454012152,4773,1,2820,1469,0.520921985815603,1953,1105,0.565796210957501,0.469516027655563,0.490257699560025
1__NQ_ES__xgb_d3__0.1000,2023,TRUE,1,NQ_ES,xgb_d3,3,0.1,0.0755802989006043,1,2443,0.114030993278566,1349,0.552189930413426,1174,0.480556692591077,0.0716332378223496,0.0372492836676218,52,303,0.00859598853868195,0.0364306180925092,2443,1,1470,791,0.538095238095238,973,558,0.573484069886948,0.480556692591077,0.482194023741302
1__NQ_ES__xgb_d3__0.0500,2023,TRUE,1,NQ_ES,xgb_d3,3,0.05,0.0890182614326477,1,1208,0.0563853622106049,667,0.552152317880795,567,0.469370860927152,0.0827814569536424,0.0355960264900662,52,283,0.00993377483443709,0.0438741721854305,1208,1,702,372,0.52991452991453,506,295,0.58300395256917,0.469370860927152,0.495033112582781
1__NQ_ES__xgb_d3__0.0200,2023,TRUE,1,NQ_ES,xgb_d3,3,0.02,0.10558100938797,1,452,0.0210978342046303,253,0.559734513274336,212,0.469026548672566,0.0907079646017699,0.0353982300884956,52,213,0.0154867256637168,0.0685840707964602,452,1,214,119,0.55607476635514,238,134,0.563025210084034,0.469026548672566,0.495575221238938
1__NQ_ES__xgb_d3__0.0100,2023,TRUE,1,NQ_ES,xgb_d3,3,0.01,0.116813412904739,1,205,0.00956870799103809,123,0.6,95,0.463414634146342,0.136585365853659,0.0341463414634146,51,139,0.024390243902439,0.0975609756097561,205,1,76,47,0.618421052631579,129,76,0.589147286821706,0.463414634146342,0.502439024390244
1__NQ_ES__xgb_d3__0.0050,2023,TRUE,1,NQ_ES,xgb_d3,3,0.005,0.129401502013207,1,75,0.00350074682598954,49,0.653333333333333,38,0.506666666666667,0.146666666666667,0.0133333333333333,40,64,0.0266666666666667,0.133333333333333,75,1,23,18,0.782608695652174,52,31,0.596153846153846,0.506666666666667,0.48
1__NQ_ES__xgb_d4__0.5000,2023,TRUE,1,NQ_ES,xgb_d4,4,0.5,0.0342373251914978,1,10885,0.508075056011949,5794,0.532292145153881,5259,0.483141938447405,0.0491502067064768,0.0388608176389527,52,310,0.00523656407900781,0.02508038585209,10885,1,6300,3325,0.527777777777778,4585,2469,0.538495092693566,0.483141938447405,0.477997243913643
1__NQ_ES__xgb_d4__0.2000,2023,TRUE,1,NQ_ES,xgb_d4,4,0.2,0.0644451975822449,1,4536,0.211725168035848,2452,0.540564373897707,2132,0.470017636684303,0.0705467372134039,0.0394620811287478,52,310,0.00595238095238095,0.029320987654321,4536,1,2612,1367,0.523353751914242,1924,1085,0.563929313929314,0.470017636684303,0.490520282186949
