horizon_min,model,tau,n,wins,base_wins_selected,full_n,full_model_wins,full_base_wins,n_long,long_wins,n_short,short_wins,win_rate,selected_baseline_win_rate,full_model_win_rate,full_baseline_win_rate,selected_directional_edge,selection_gain_vs_full_baseline,coverage,long_win_rate,short_win_rate
7,Market-state,0.025,24129,12631,12241,155958,80367,79156,14755,7749,9374,4882,0.523477972564134,0.507314849351403,0.515311814719348,0.507546903653548,0.0161631232127315,0.0159310689105867,0.154714730889086,0.525177905794646,0.52080221890335
7,Market-state,0.05,6726,3468,3400,155958,80367,79156,3832,1987,2894,1481,0.515611061552186,0.505501040737437,0.515311814719348,0.507546903653548,0.0101100208147487,0.00806415789863779,0.0431269957296195,0.518528183716075,0.511748445058742
7,Market-state,0.075,2436,1266,1203,155958,80367,79156,1313,673,1123,593,0.519704433497537,0.49384236453202,0.515311814719348,0.507546903653548,0.0258620689655172,0.0121575298439892,0.0156195898895857,0.512566641279513,0.528049866429208
7,Market-state,0.1,1032,534,524,155958,80367,79156,518,272,514,262,0.517441860465116,0.507751937984496,0.515311814719348,0.507546903653548,0.00968992248062017,0.0098949568115686,0.00661716616012003,0.525096525096525,0.509727626459144
7,Market-state,0.15,259,137,130,133598,68934,67789,110,59,149,78,0.528957528957529,0.501930501930502,0.515980778155362,0.507410290573212,0.0270270270270271,0.0215472383843168,0.0019386517762242,0.536363636363636,0.523489932885906
7,Full,0,155958,80457,79156,155958,80457,79156,95777,49716,60181,30741,0.515888893163544,0.507546903653548,0.515888893163544,0.507546903653548,0.00834198950999632,0.00834198950999632,1,0.519080781398457,0.510809059337665
7,Full,0.025,31194,16306,15903,155958,80457,79156,18573,9794,12621,6512,0.522728729883952,0.509809578765147,0.515888893163544,0.507546903653548,0.0129191511188049,0.0151818262304043,0.200015388758512,0.527324610994454,0.515965454401395
7,Full,0.05,8697,4485,4359,155958,80457,79156,4393,2270,4304,2215,0.515695067264574,0.501207312866506,0.515888893163544,0.507546903653548,0.0144877543980684,0.00814816361102633,0.0557650136575232,0.516731163214204,0.514637546468402
7,Full,0.075,3137,1610,1572,155958,80457,79156,1435,740,1702,870,0.51322919987249,0.501115715651897,0.515888893163544,0.507546903653548,0.0121134842205929,0.0056822962189419,0.0201143897716052,0.515679442508711,0.511163337250294
7,Full,0.1,1260,658,646,155958,80457,79156,524,284,736,374,0.522222222222222,0.512698412698413,0.515888893163544,0.507546903653548,0.0095238095238096,0.0146753185686745,0.0080790982187512,0.541984732824428,0.508152173913044
7,Full,0.15,304,162,148,133598,69000,67789,104,55,200,107,0.532894736842105,0.486842105263158,0.516474797526909,0.507410290573212,0.0460526315789474,0.0254844462688931,0.00227548316591566,0.528846153846154,0.535
7,Calendar-only,0.075,100,46,50,19075,9481,9339,48,22,52,24,0.46,0.5,0.497038007863696,0.48959370904325,-0.04,-0.0295937090432503,0.00524246395806029,0.458333333333333,0.461538461538462
10,Calendar-only,0,156394,78871,79761,156394,78871,79761,101526,51882,54868,26989,0.504309628246608,0.510000383646431,0.504309628246608,0.510000383646431,-0.00569075539982344,-0.00569075539982344,1,0.511021807221795,0.491889626011519
10,Calendar-only,0.025,46011,23419,23481,156394,78871,79761,35749,18319,10262,5100,0.508986981374019,0.510334485231792,0.504309628246608,0.510000383646431,-0.00134750385777316,-0.0010134022724122,0.294199265956495,0.512433914235363,0.496979146365231
10,Calendar-only,0.05,5750,2983,2875,156394,78871,79761,4492,2300,1258,683,0.518782608695652,0.5,0.504309628246608,0.510000383646431,0.0187826086956522,0.00878222504922077,0.0367661163471744,0.512021371326803,0.542925278219396
